Corpo	Serie	Direcao	NStope	Prof	Tipo	Strike	AltDip	HwDip	RH	Ep	LGi	LUGIhw	LUGIfw	Q'	RMR	GSI	A	B	C	N'	SigmaV	Alfa	Mc/str	Mc/ton	Mc/Ahw	ICEGs	PE	FEhw	FEfw	Diluicao
17	300	2	4	258	1	63	15.1	79.7	6.2	7.8	6.8	1.5	1.6	42	68.8	60.4	1	0.2	6.9	64.7	7	7.7	2	0.01	0.13	0.5	2.9	0.5	0.9	10
9	300	1	3	395	2	26.5	25	73.7	6.6	2.8	6.1	2.3	1.1	71.3	72	68.3	0.8	0.2	6.3	80.3	10.7	6.6	8.7	0.08	0.33	0.1	2.1	0	0	21
6	200	2	2	201	1	65.8	13.7	64.7	6.2	3.9	5.8	2.3	0.2	45.5	61.5	59.8	1	0.2	5.4	49.4	5.4	12.1	17.2	0.2	1.14	0.8	2.6	0.3	0.4	45
9	300	1	5	395	2	34	26.8	70.2	7.8	4.3	5.7	2.9	1.5	61.6	70	67.3	0.8	0.2	6	56	10.7	14.6	18.9	0.08	0.66	0.7	3.4	0.2	0.9	19
1	100	2	2	428	1	29.1	14.9	44.9	6.1	2.3	10.1	7.9	1.2	18.5	70	63	0.7	0.2	3.8	9.6	11.6	11.7	57.6	0.49	2.74	0.6	2.2	0.1	0.6	46.3
7	200	1	1	428	1	51	22.3	78.7	7.9	6.4	6	2.7	1.1	12.2	61.5	59.5	0.7	0.2	6.8	11.6	11.6	28.3	12.2	0.04	0.54	0.6	2.7	0.3	0.5	32.3
9	300	1	6	395	3	49.2	19.5	68.6	7.3	3.3	6	2.7	0.8	59.1	70.6	69	0.8	0.2	5.8	58.2	10.7	7.7	8.5	0.08	0.41	0.7	2.4	0.2	0.7	22.8
18	300	2	2	237	1	32	19.9	70.1	6.4	1.7	5.7	3.4	0.9	24.5	63.4	62	1	0.3	6	40.3	6.4	2.4	22.5	0.27	1.07	0.6	1.3	0	0.1	34.4
6	200	2	3	201	1	19	16.8	46.5	5.2	2.9	5.2	2	0.2	90.2	75.5	66.5	1	0.2	3.9	69.8	5.4	15	22.1	0.19	0.95	0.8	1.8	0	0	12.3
18	300	2	3	237	1	28	19.5	72.6	5.9	2	4.7	2.5	0.7	17	61	60	1	0.2	6.2	22.1	6.4	9	17.4	0.21	0.85	0.2	1.3	0	0.6	35
10	300	2	3	395	2	23	24	80.2	5.9	6	6.1	2.4	1.2	57.9	72	65	0.8	0.2	7	61.5	10.7	20.6	2.6	0.01	0.11	0.4	3.1	1	0.4	32
18	300	2	4	237	1	81	16	73.7	6.9	2.3	5	1.9	1.4	47.2	69.3	63	1	0.2	6.3	67	6.4	7.5	12.3	0.16	0.74	0.8	2.4	0.4	0.2	18.2
9	300	1	1	340	1	47	19.2	55.9	7.8	6	5	0.1	0	39.4	68	64	0.9	0.2	4.6	33	9.2	10.3	4	0.01	0.17	0.1	2.6	0.8	0.5	13.9
7	200	1	2	456	1	16.9	16.4	45.5	4.9	4.3	10.3	5.4	2	40.9	63	58.5	0.6	0.2	3.8	19.9	12.3	19.1	72.1	0.47	3.13	0.8	1.8	0.9	0	25
16	300	1	1	276	3	75	19.2	75.8	7.8	3.2	6.9	1.9	0.1	10.4	57.7	59.7	1	0.2	6.5	13.6	7.5	13.4	14.6	0.12	0.74	0.6	3.2	0	0.6	20.9
12	300	2	1	365	1	26	11.4	74.8	4.1	1.7	5.8	2	0.4	11.8	56	60	0.8	0.2	6.4	14	9.9	7.8	4.5	0.03	0.38	0.1	2.5	0.7	0.4	9.8
11	300	2	1	365	1	49	7.7	77.6	3.4	2	5.5	3.3	1	32.7	68.3	60.3	0.8	0.2	6.7	36.6	9.9	22.6	0	0	0	0.1	4	0	0.1	22.1
14	300	2	1	426	1	27	16.4	77.7	5.2	4.2	5.8	2	0.1	8.4	64	56.5	0.7	0.2	6.7	7.9	11.5	10.4	5	0.04	0.3	0.2	2.3	0.1	0.3	20.6
10	300	2	1	192	1	37	11.2	73.8	4.4	5.8	5.6	1.7	1.5	24.5	60.3	59	1	0.2	6.3	31	5.2	13.1	9.7	0.08	0.83	0.3	2.6	0.3	0.6	9.4
14	300	2	2	426	1	28.2	14.4	75.2	4.9	6.7	5.1	1.7	0.2	15.9	64	62	0.7	0.2	6.5	15.6	11.5	8.2	0	0	0	0.3	2.7	1	0.2	9.5
16	300	1	4	258	1	49	19.3	69.7	7.2	2.3	5	2.6	0.2	15.7	71.5	62.5	1	0.2	5.9	20.6	7	7.8	16.2	0.17	0.79	0.3	1.8	0	0	30.3
17	300	2	1	276	3	69.8	23	70.8	9	3.1	4.9	1.8	1	26.5	68.7	61.7	1	0.2	6	34.6	7.5	8.3	21.7	0.18	0.89	0.7	3.1	0.2	0.2	19.7
10	300	2	1	385	3	45	26.2	78.4	8.4	5.6	5.3	0.9	0.5	28.3	63.3	60.7	0.8	0.2	6.8	30.1	10.4	15.4	4.5	0.02	0.17	0.2	2.7	0.9	0.8	11.1
9	300	1	2	340	1	45	16	60.9	6.5	2.8	5.7	3.3	0.2	13.5	69	63	0.9	0.2	5.1	14.4	9.2	6.8	20.5	0.17	1.12	0	3	0	0.3	20.7
1	100	2	2	496	1	20	17	52.5	5.2	3.1	5.6	3.5	2.1	31.6	68	65.6	0.6	0.2	4.3	16	13.4	20.2	27.3	0.24	1.27	0.9	1.4	0.4	0.5	29.9
16	300	1	5	258	1	39	15	70.8	5.6	2.1	5.5	2.5	0.7	17.8	62.5	60	1	0.2	6	25.4	7	6.3	5.5	0.08	0.35	0.3	1.8	0	0	16.1
16	300	1	1	294	2	32	23	73.7	6.9	4.6	6.2	0.8	0.6	8.1	60.3	59.3	1	0.2	6.3	11.4	7.9	7.7	30.2	0.16	1.26	0.5	2.8	0.5	0.3	14
19	300	1	1	340	1	27	21.4	79.3	6	3.8	7	2.2	1.3	14	60.3	60.7	0.9	0.2	6.9	17.5	9.2	11.7	4.1	0.02	0.19	0.1	2.3	0.3	0.2	13.7
16	300	1	6	258	1	41	16	75.3	5.9	2.2	5.8	2.2	1.5	16.1	56.5	57.5	1	0.2	6.5	21.7	7	9.2	17.1	0.27	1.03	0.3	2	0.2	0	27.7
16	300	1	4	276	2	18	24.9	79	5.3	2.3	4.9	2.7	0.2	15.6	63.5	61.5	1	0.2	6.9	21.4	7.5	15.1	16.5	0.17	0.65	0.4	3.4	0	0.8	27.6
19	300	1	2	340	2	15	26.2	68.4	4.9	3.3	5	2.3	1.3	19.5	58	65	0.9	0.2	5.8	20.4	9.2	17.5	8.4	0.05	0.3	0.2	1.9	0.1	0.6	8.8
17	300	2	2	276	2	59	22.8	79.7	8.3	3.2	5.3	2.4	0.7	60.6	72.5	62	1	0.2	6.9	84	7.5	20.8	8.9	0.07	0.39	0.3	3	0.3	0.2	17.2
4	100	2	1	297	1	41	19.7	77.1	6.8	1.5	5.4	2.2	1.7	10.7	60.3	58.3	1	0.2	6.7	17	8	6.2	9.5	0.11	0.47	0.1	1.6	0	0	24.8
14	300	2	4	345	1	44	8.7	75	3.7	3.8	5.8	3.2	2.7	10.8	55.5	60.5	0.9	0.2	6.4	12.3	9.3	13.5	13	0.23	1.45	0.2	2.5	0.3	0.4	8.9
16	300	1	5	267	2	57	25	71.8	9	2.2	5.2	2.4	1.4	12.7	56.5	60	1	0.2	6.1	15.6	7.2	10.5	14.2	0.15	0.54	0.5	2.3	0.2	0	34
17	300	2	1	316	1	121.5	14.4	76.9	6.6	3.6	4.7	1.4	0.2	10.6	62.4	59.6	1	0.2	6.6	13.8	8.5	16.1	7.1	0.07	0.48	0.3	3.2	0.5	0.4	8.4
17	300	2	1	294	2	27.3	22.8	77.6	6.3	2.2	4.8	2.8	0.2	9.5	54.7	61.3	1	0.2	6.7	14.7	7.9	7	11.5	0.1	0.49	0.6	2.1	0	0.3	10.5
18	300	2	3	258	1	42	14	68.9	5.5	2.2	5.3	3.7	0.3	17.4	65	60	1	0.3	5.8	27.3	7	3.1	18.6	0.28	1.24	0.1	1.7	0.2	0.5	27.7
18	300	2	5	258	1	34.5	14.1	77.5	5.1	2.7	5	2.2	0.2	14.8	62	57	1	0.2	6.7	19.8	7	10.6	4.2	0.05	0.29	0.2	2.4	0	1	31.3
